Term , canada
Article #937 , 101 , 3
Article #938 , 106 , 1
Article #996 , 102 , 2
Article #1001 , 112 , 2
Article #1016 , 101 , 2
Article #1017 , 93 , 3
Article #1021 , 101 , 1
Article #1025 , 89 , 2
Article #1026 , 80 , 3
Article #1029 , 99 , 3
Article #1032 , 102 , 2
Article #1036 , 94 , 2
Article #1040 , 93 , 1
Article #1043 , 95 , 3
Article #1044 , 100 , 1
Article #1048 , 103 , 1
Article #1056 , 97 , 2
Article #1058 , 96 , 1
Article #1060 , 104 , 2
Article #1063 , 104 , 2
Article #1071 , 110 , 3
Article #1088 , 107 , 4
Article #1091 , 114 , 1
Article #1093 , 111 , 1
Article #1094 , 100 , 3
Article #1095 , 116 , 1
Article #1096 , 118 , 1
Article #1097 , 116 , 1
Article #1098 , 115 , 1
Article #1099 , 73 , 3
Article #1100 , 111 , 4
Article #1106 , 97 , 5
Article #1110 , 89 , 1
Article #1111 , 91 , 1
Article #1114 , 96 , 2
Article #1115 , 109 , 2
Article #1119 , 82 , 2
Article #1122 , 109 , 2
Article #1124 , 106 , 2
Article #1126 , 89 , 1
Article #1127 , 61 , 2
Article #1136 , 102 , 1
Article #1137 , 111 , 2
Article #1138 , 80 , 2
Article #1139 , 108 , 1
Article #1140 , 93 , 1
Article #1143 , 82 , 1
Article #1144 , 110 , 2
Article #1147 , 80 , 1
Article #1149 , 93 , 3
Article #1154 , 100 , 1
Article #1155 , 102 , 4
Article #1156 , 110 , 2
Article #1157 , 128 , 1
Article #1163 , 97 , 2
Article #1167 , 97 , 1
Article #1169 , 100 , 2
Article #1171 , 104 , 2
Article #1173 , 101 , 3
Article #1178 , 85 , 1
Article #1180 , 103 , 2
Article #1181 , 100 , 1
Article #1187 , 107 , 1
Article #1188 , 82 , 1
Article #1195 , 106 , 1
Article #1196 , 79 , 1
Article #1200 , 88 , 2
Article #1201 , 82 , 1
Article #1206 , 105 , 2
Article #1207 , 114 , 3
Article #1209 , 105 , 2
Article #1210 , 111 , 1
Article #1211 , 97 , 2
Article #1217 , 83 , 1
Article #1222 , 103 , 3
Article #1229 , 91 , 1
Article #1256 , 83 , 2
Article #1259 , 77 , 1
Article #1266 , 80 , 2
Article #1267 , 89 , 2
Article #1270 , 106 , 1
Article #1271 , 92 , 2
Article #1275 , 87 , 1
Article #1282 , 84 , 1
Article #1285 , 102 , 2
Article #1291 , 107 , 2
Article #1298 , 108 , 2
Article #1301 , 107 , 1
Article #1303 , 109 , 1
Article #1309 , 108 , 2
Article #1322 , 107 , 1
Article #1326 , 114 , 1
Article #1333 , 116 , 1
Article #1337 , 115 , 2
Article #1345 , 106 , 3
Article #1348 , 111 , 1
Article #1349 , 116 , 1
Article #1350 , 105 , 3
Article #1352 , 120 , 2
Article #1354 , 105 , 1
Article #1355 , 111 , 1
Article #1359 , 116 , 1
Article #1364 , 109 , 4
Article #1375 , 109 , 1
Article #1381 , 112 , 2
Article #1384 , 101 , 1
